organization,category,geography,fit_score,why_it_matters,website,next_action
Alameda County Community Food Bank,Food bank,Alameda County,5,Countywide anchor with food distribution and partner agency network,https://www.accfb.org/,Request interview on prepared food pathways
Berkeley Food Network,Food access organization,Berkeley/Albany,4,Community-centered free food distribution near Oakland pilot area,https://www.berkeleyfoodnetwork.org/,Ask about prepared food capacity
East Oakland Collective,Community organization,East Oakland,5,Distributes groceries hot meals hygiene and supplies in Deep East Oakland,https://www.eastoaklandcollective.org/,Confirm commercial prepared food acceptance and delivery windows
St. Vincent de Paul of Alameda County,Meal program,Oakland,5,Large East Bay free meal program and food locker,https://www.svdp-alameda.org/,Request food donation operations interview
CityTeam Oakland,Meal/pantry/shelter,Oakland,4,Hot meals mobile pantries and essential services,https://www.cityteam.org/get-help/oakland,Confirm food donation policy and contact
Project Open Hand,Medically supportive meals,Oakland/SF,3,Specialized meal provider with Oakland presence,https://www.openhand.org/,Interview for standards and partnership lessons
Food Runners,Food recovery,SF,4,Prepared food recovery benchmark for caterers and corporate cafeterias,https://www.foodrunners.org/,Study operating model and possible coordination
ExtraFood,Food recovery,Bay Area,4,Recovers fresh food from businesses schools and gardens,https://extrafood.org/,Study expansion and partner model
White Pony Express,Food recovery,Contra Costa,4,Seven-day food rescue and delivery benchmark,https://whiteponyexpress.org/,Study app/volunteer model
StopWaste RE:Source,Directory,Alameda County,5,Directory for local food recovery organizations,https://resource.stopwaste.org/food-recovery-organizations,Use to identify additional partners
